,Actor_name,Born,Occupation,spouse,spouse_first,spouse_second,spouse_third,spouse_fourth
0,Robert De Niro,['(1943-08-17)'],"['Actor, producer, director']","['Diahnne Abbott(m.\xa01976; div.\xa01988)', 'Grace Hightower(m.\xa01997; separated\xa02018)']",Diahnne Abbott(m. 1976; div. 1988),Grace Hightower(m. 1997; separated 2018),None,None
1,Jack Nicholson,['(1937-04-22)'],"['Actor, director, producer, screenwriter']",['Sandra Knight(m.\xa01962; div.\xa01968)'],Sandra Knight(m. 1962; div. 1968),None,None,None
2,Tom Hanks,['(1956-07-09)'],"['Actor, filmmaker']","['Samantha Lewes(m.\xa01978; div.\xa01987)', 'Rita Wilson (m.\xa01988)']",Samantha Lewes(m. 1978; div. 1987),Rita Wilson (m. 1988),None,None
3,Marlon Brando,"['(1924-04-03)', '(2004-07-01)']","['Actor, film director, activist']","['Anna Kashfi(m.\xa01957; div.\xa01959)', 'Movita Castaneda(m.\xa01960; div.\xa01962)', 'Tarita Teriipaia(m.\xa01962; div.\xa01972)']",Anna Kashfi(m. 1957; div. 1959),Movita Castaneda(m. 1960; div. 1962),Tarita Teriipaia(m. 1962; div. 1972),None
4,Leonardo DiCaprio,['(1974-11-11)'],['Actor\nFilm producer with Appian Way Productions'],[],Never married,None,None,None
5,Humphrey Bogart,"['(1899-12-25)', '(1957-01-14)']",['Actor'],"['Helen Menken(m.\xa01926; div.\xa01927)', 'Mary Philips(m.\xa01928; div.\xa01937)', 'Mayo Methot(m.\xa01938; div.\xa01945)', 'Lauren Bacall (m.\xa01945)']",Helen Menken(m. 1926; div. 1927),Mary Philips(m. 1928; div. 1937),Mayo Methot(m. 1938; div. 1945),Lauren Bacall (m. 1945)
6,Johnny Depp,['(1963-06-09)'],"['Actor, producer, musician']","['Lori Allison(m.\xa01983; div.\xa01985)', 'Amber Heard(m.\xa02015; div.\xa02017)']",Lori Allison(m. 1983; div. 1985),Amber Heard(m. 2015; div. 2017),None,None
7,Al Pacino,['(1940-04-25)'],['Actor\nfilmmaker'],[],Never married,None,None,None
8,Denzel Washington,['(1954-12-28)'],['Actor\ndirector\nproducer'],['Pauletta Pearson (m.\xa01983)'],Pauletta Pearson (m. 1983),None,None,None
9,Brad Pitt,['(1963-12-18)'],['Actorfilm producer'],"['Jennifer Aniston(m.\xa02000; div.\xa02005)', 'Angelina Jolie(m.\xa02014; sep.\xa02016)']",Jennifer Aniston(m. 2000; div. 2005),Angelina Jolie(m. 2014; sep. 2016),None,None
10,Daniel Day-Lewis,['(1957-04-29)'],['Actor'],['Rebecca Miller (m.\xa01996)'],Rebecca Miller (m. 1996),None,None,None
11,Tom Cruise,['(1962-07-03)'],"['Actor, producer']","['Mimi Rogers(m.\xa01987; div.\xa01990)', 'Nicole Kidman(m.\xa01990; div.\xa02001)', 'Katie Holmes(m.\xa02006; div.\xa02012)']",Mimi Rogers(m. 1987; div. 1990),Nicole Kidman(m. 1990; div. 2001),Katie Holmes(m. 2006; div. 2012),None
12,Dustin Hoffman,['(1937-08-08)'],"['Actor, film director']","['Anne Byrne(m.\xa01969; div.\xa01980)', 'Lisa Gottsegen (m.\xa01980)']",Anne Byrne(m. 1969; div. 1980),Lisa Gottsegen (m. 1980),None,None
13,Clark Gable,"['(1901-02-01)', '(1960-11-16)']",['Actor'],"['Josephine Dillon(m.\xa01924; div.\xa01930)', 'Maria Langham(m.\xa01931; div.\xa01939)', 'Carole Lombard(m.\xa01939; died\xa01942)', 'Sylvia Ashley(m.\xa01949; div.\xa01952)', 'Kay Williams (m.\xa01955)']",Josephine Dillon(m. 1924; div. 1930),Maria Langham(m. 1931; div. 1939),Carole Lombard(m. 1939; died 1942),Sylvia Ashley(m. 1949; div. 1952)
14,Sean Penn,['(1960-08-17)'],"['Actor, filmmaker']","['Madonna(m.\xa01985; div.\xa01989)', 'Robin Wright(m.\xa01996; div.\xa02010)']",Madonna(m. 1985; div. 1989),Robin Wright(m. 1996; div. 2010),None,None
15,Christian Bale,['(1974-01-30)'],['Actor'],['Sandra Blažić (m.\xa02000)'],Sandra Blažić (m. 2000),None,None,None
16,Gregory Peck,"['(1916-04-05)', '(2003-06-12)']",['Actor'],"['Greta Kukkonen(m.\xa01942; div.\xa01955)', 'Veronique Passani (m.\xa01955)']",Greta Kukkonen(m. 1942; div. 1955),Veronique Passani (m. 1955),None,None
17,Sidney Poitier,['(1927-02-20)'],"['Actor, director, author, diplomat']","['Juanita Hardy (m.\xa01950–1965)', 'Joanna Shimkus (m.\xa01976)']",Juanita Hardy (m. 1950–1965),Joanna Shimkus (m. 1976),None,None
18,Harrison Ford,['(1942-07-13)'],['Actorproducer'],"['Mary Marquardt(m.\xa01964; div.\xa01979)', 'Melissa Mathison(m.\xa01983; div.\xa02004)', 'Calista Flockhart (m.\xa02010)']",Mary Marquardt(m. 1964; div. 1979),Melissa Mathison(m. 1983; div. 2004),Calista Flockhart (m. 2010),None
19,Spencer Tracy,"['(1900-04-05)', '(1967-06-10)']",['Actor'],['Louise Treadwell (m.\xa01923)'],Louise Treadwell (m. 1923),None,None,None
20,George Clooney,['(1961-05-06)'],"['Actor, screenwriter, producer with Smoke House Pictures, director']","['Talia Balsam(m.\xa01989; div.\xa01993)', 'Amal Alamuddin (m.\xa02014)']",Talia Balsam(m. 1989; div. 1993),Amal Alamuddin (m. 2014),None,None
21,Charlton Heston,"['(1923-10-04)', '(2008-04-05)']","['Actor, activist']",['Lydia Clarke (m.\xa01944)'],Lydia Clarke (m. 1944),None,None,None
22,Morgan Freeman,['(1937-06-01)'],['Actor'],"['Jeanette Adair Bradshaw(m.\xa01967; div.\xa01979)', 'Myrna Colley-Lee(m.\xa01984; div.\xa02010)']",Jeanette Adair Bradshaw(m. 1967; div. 1979),Myrna Colley-Lee(m. 1984; div. 2010),None,None
23,Katharine Hepburn,"['(1907-05-12)', '(2003-06-29)']",['Actress'],['Ludlow Ogden Smith(m.\xa01928; div.\xa01934)'],Ludlow Ogden Smith(m. 1928; div. 1934),None,None,None
24,Meryl Streep,['(1949-06-22)'],['Actress'],['Don Gummer (m.\xa01978)'],Don Gummer (m. 1978),None,None,None
25,Ingrid Bergman,"['(1915-08-29)', '(1982-08-29)']",['Actress'],"['Petter Lindström(m.\xa01937; div.\xa01950)', 'Roberto Rossellini(m.\xa01950; div.\xa01957)', 'Lars Schmidt(m.\xa01958; div.\xa01975)']",Petter Lindström(m. 1937; div. 1950),Roberto Rossellini(m. 1950; div. 1957),Lars Schmidt(m. 1958; div. 1975),None
26,Marilyn Monroe,"['(1926-06-01)', '(1962-08-05)']",['Actressmodelsinger'],"['James Dougherty(m.\xa01942; div.\xa01946)', 'Joe DiMaggio(m.\xa01954; div.\xa01955)', 'Arthur Miller(m.\xa01956; div.\xa01961)']",James Dougherty(m. 1942; div. 1946),Joe DiMaggio(m. 1954; div. 1955),Arthur Miller(m. 1956; div. 1961),None
27,Jennifer Lawrence,['(1990-08-15)'],['Actress'],[],Never married,None,None,None
28,Kate Winslet,['(1975-10-05)'],['Actress'],"['Jim Threapleton(m.\xa01998; div.\xa02001)', 'Sam Mendes(m.\xa02003; div.\xa02011)', 'Ned Rocknroll (m.\xa02012)']",Jim Threapleton(m. 1998; div. 2001),Sam Mendes(m. 2003; div. 2011),Ned Rocknroll (m. 2012),None
29,Elizabeth Taylor,"['(1932-02-27)', '(2011-03-23)']","['Actress, entrepreneur']","['Conrad Hilton Jr.(m.\xa01950; div.\xa01951)', 'Michael Wilding(m.\xa01952; div.\xa01957)', 'Mike Todd(m.\xa01957; d.\xa01958)', 'Eddie Fisher(m.\xa01959; div.\xa01964)', 'Richard Burton(m.\xa01964; div.\xa01974)', 'John Warner(m.\xa01976; div.\xa01982)', 'Larry Fortensky(m.\xa01991; div.\xa01996)']",Conrad Hilton Jr.(m. 1950; div. 1951),Michael Wilding(m. 1952; div. 1957),Mike Todd(m. 1957; d. 1958),Eddie Fisher(m. 1959; div. 1964)
30,Cate Blanchett,['(1969-05-14)'],['Actress\ntheatre director'],['Andrew Upton (m.\xa01997)'],Andrew Upton (m. 1997),None,None,None
31,Audrey Hepburn,"['(1929-05-04)', '(1993-01-20)']",['Actress (1948–1989)Humanitarian (1988–1992)'],"['Mel Ferrer(m.\xa01954; div.\xa01968)', 'Andrea Dotti(m.\xa01969; div.\xa01982)']",Mel Ferrer(m. 1954; div. 1968),Andrea Dotti(m. 1969; div. 1982),None,None
32,Helen Mirren,['(1945-07-26)'],['Actor'],['Taylor Hackford (m.\xa01997)'],Taylor Hackford (m. 1997),None,None,None
33,Bette Davis,"['(1908-04-05)', '(1989-10-06)']",['Actress'],"['Harmon Nelson(m.\xa01932; div.\xa01938)', 'Arthur Farnsworth(m.\xa01940; died\xa01943)', 'William Grant Sherry(m.\xa01945; div.\xa01950)', 'Gary Merrill(m.\xa01950; div.\xa01960)']",Harmon Nelson(m. 1932; div. 1938),Arthur Farnsworth(m. 1940; died 1943),William Grant Sherry(m. 1945; div. 1950),Gary Merrill(m. 1950; div. 1960)
34,Viola Davis,['(1965-08-11)'],"['Actress, producer']",['Julius Tennon (m.\xa02003)'],Julius Tennon (m. 2003),None,None,None
35,Nicole Kidman,['(1967-06-20)'],['Actress\nproducer'],"['Tom Cruise(m.\xa01990; div.\xa02001)', 'Keith Urban (m.\xa02006)']",Tom Cruise(m. 1990; div. 2001),Keith Urban (m. 2006),None,None
36,Sandra Bullock,['(1964-07-26)'],"['Actress, producer, philanthropist']",['Jesse G. James(m.\xa02005; div.\xa02010)'],Jesse G. James(m. 2005; div. 2010),None,None,None
37,Natalie Portman,['(1981-06-09)'],['Actressfilm producerdirector'],['Benjamin Millepied (m.\xa02012)'],Benjamin Millepied (m. 2012),None,None,None
38,Jodie Foster,['(1962-11-19)'],['Actressdirectorproducer'],['Alexandra Hedison (m.\xa02014)'],Alexandra Hedison (m. 2014),None,None,None
39,Judi Dench,['(1934-12-09)'],['Actressartistauthor'],['Michael Williams(m.\xa01971; died\xa02001)'],Michael Williams(m. 1971; died 2001),None,None,None
40,Amy Adams,['(1974-08-20)'],['Actress'],['Darren Le Gallo (m.\xa02015)'],Darren Le Gallo (m. 2015),None,None,None
41,Julia Roberts,['(1967-10-28)'],"['Actress, producer']","['Lyle Lovett(m.\xa01993; div.\xa01995)', 'Daniel Moder (m.\xa02002)']",Lyle Lovett(m. 1993; div. 1995),Daniel Moder (m. 2002),None,None
42,Diane Keaton,['(1946-01-05)'],['Actress\ndirector\nproducer'],[],Never married,None,None,None
43,Shirley MacLaine,['(1934-04-24)'],"['Actress, singer, dancer, author, activist']",['Steve Parker(m.\xa01954; div.\xa01982)'],Steve Parker(m. 1954; div. 1982),None,None,None
44,Reese Witherspoon,['(1976-03-22)'],"['Actress, producer, entrepreneur']","['Ryan Phillippe(m.\xa01999; div.\xa02007)', 'Jim Toth (m.\xa02011)']",Ryan Phillippe(m. 1999; div. 2007),Jim Toth (m. 2011),None,None
45,Charlize Theron,['(1975-08-07)'],"['Actress, producer']",[],Never married,None,None,None
46,Judy Garland,"['(1922-06-10)', '(1969-06-22)']",['Singer\nactress\ndancer\nvaudevillian'],"['David Rose(m.\xa01941; div.\xa01944)', 'Vincente Minnelli(m.\xa01945; div.\xa01951)', 'Sidney Luft(m.\xa01952; div.\xa01965)', 'Mark Herron(m.\xa01965; div.\xa01969)', 'Mickey Deans (m.\xa01969)']",David Rose(m. 1941; div. 1944),Vincente Minnelli(m. 1945; div. 1951),Sidney Luft(m. 1952; div. 1965),Mark Herron(m. 1965; div. 1969)
47,John Wayne,"['(1907-05-26)', '(1979-06-11)', '\ufeff / 33.60953; -117.85336']","['Actor, director, producer']","['Josephine Saenz(m.\xa01933; div.\xa01945)', 'Esperanza Baur(m.\xa01946; div.\xa01954)', 'Pilar Pallete (m.\xa01954)']",Josephine Saenz(m. 1933; div. 1945),Esperanza Baur(m. 1946; div. 1954),Pilar Pallete (m. 1954),None
48,Paul Newman,"['(1925-01-26)', '(2008-09-26)']","['Actor, voice actor, film director, producer, race car driver, Indy Car owner, entrepreneur']","['Jackie Witte(m.\xa01949; div.\xa01958)', 'Joanne Woodward (m.\xa01958)']",Jackie Witte(m. 1949; div. 1958),Joanne Woodward (m. 1958),None,None
49,Anthony Hopkins,['(1937-12-31)'],"['Actor, composer, painter']","['Petronella Barker(m.\xa01966; div.\xa01972)', 'Jennifer Lynton(m.\xa01973; div.\xa02002)', 'Stella Arroyave (m.\xa02003)']",Petronella Barker(m. 1966; div. 1972),Jennifer Lynton(m. 1973; div. 2002),Stella Arroyave (m. 2003),None
50,Matt Damon,['(1970-10-08)'],"['Actor, filmmaker, producer with Pearl Street Films, screenwriter']",['Luciana Bozán Barroso (m.\xa02005)'],Luciana Bozán Barroso (m. 2005),None,None,None
51,Russell Crowe,['(1964-04-07)'],['Actorfilm producermusician'],['Danielle Spencer(m.\xa02003; div.\xa02018)'],Danielle Spencer(m. 2003; div. 2018),None,None,None
52,Robert Duvall,['(1931-01-05)'],"['Actor, filmmaker']","['Barbara Benjamin(m.\xa01964; div.\xa01975)', 'Gail Youngs(m.\xa01982; div.\xa01986)', 'Sharon Brophy(m.\xa01991; div.\xa01995)', 'Luciana Pedraza (m.\xa02005)']",Barbara Benjamin(m. 1964; div. 1975),Gail Youngs(m. 1982; div. 1986),Sharon Brophy(m. 1991; div. 1995),Luciana Pedraza (m. 2005)
53,James Dean,"['(1931-02-08)', '(1955-09-30)']",['Actor'],[],Never married,None,None,None
54,Kirk Douglas,['(1916-12-09)'],"['Actor, filmmaker, author']","['Diana Douglas(m.\xa01943; div.\xa01951)', 'Anne Buydens (m.\xa01954)']",Diana Douglas(m. 1943; div. 1951),Anne Buydens (m. 1954),None,None
55,Henry Fonda,"['(1905-05-16)', '(1982-08-12)']",['Actor'],"['Margaret Sullavan(m.\xa01931; div.\xa01933)', 'Frances Seymour Brokaw(m.\xa01936; died\xa01950)', 'Susan Blanchard(m.\xa01950; div.\xa01956)', 'Afdera Franchetti(m.\xa01957; div.\xa01961)', 'Shirlee Mae Adams  (m.\xa01965)']",Margaret Sullavan(m. 1931; div. 1933),Frances Seymour Brokaw(m. 1936; died 1950),Susan Blanchard(m. 1950; div. 1956),Afdera Franchetti(m. 1957; div. 1961)
56,Robin Williams,"['(1951-07-21)', '(2014-08-11)', '(1972)', '(2014)']","['Actor, comedian']","['Valerie Velardi(m.\xa01978; div.\xa01988)', 'Marsha Garces(m.\xa01989; div.\xa02010)', 'Susan Schneider (m.\xa02011)']",Valerie Velardi(m. 1978; div. 1988),Marsha Garces(m. 1989; div. 2010),Susan Schneider (m. 2011),None
57,Orson Welles,"['(1915-05-06)', '(1985-10-10)']",['Actordirectorwriterproducer'],[],Never married,None,None,None
58,Christoph Waltz,['(1956-10-04)'],"['Actor, director, voice actor']",[],Never married,None,None,None
59,Heath Ledger,"['(1979-04-04)', '(2008-01-22)']",['Actor\nmusic video director'],[],Never married,None,None,None
60,Sean Connery,['(1930-08-25)'],['Actor'],"['Diane Cilento(m.\xa01962; div.\xa01973)', 'Micheline Roquebrune (m.\xa01975)']",Diane Cilento(m. 1962; div. 1973),Micheline Roquebrune (m. 1975),None,None
61,Kevin Spacey,['(1959-07-26)'],['Actor\nproducer\nsinger'],[],Never married,None,None,None
62,Gene Hackman,['(1930-01-30)'],"['Actor, novelist']","['Faye Maltese(m.\xa01956; div.\xa01986)', 'Betsy Arakawa (m.\xa01991)']",Faye Maltese(m. 1956; div. 1986),Betsy Arakawa (m. 1991),None,None
63,Liam Neeson,['(1952-06-07)'],['Actor'],['Natasha Richardson(m.\xa01994; died\xa02009)'],Natasha Richardson(m. 1994; died 2009),None,None,None
64,Edward Norton,['(1969-08-18)'],['Actor\nfilmmaker\nactivist'],['Shauna Robertson (m.\xa02012)'],Shauna Robertson (m. 2012),None,None,None
65,Bruce Willis,['(1955-03-19)'],"['Actor, producer with Cheyenne Enterprises, singer']","['Demi Moore(m.\xa01987; div.\xa02000)', 'Emma Heming (m.\xa02009)']",Demi Moore(m. 1987; div. 2000),Emma Heming (m. 2009),None,None
66,Gary Cooper,"['(1901-05-07)', '(1961-05-13)']",['Actor'],['Veronica Balfe (m.\xa01933)'],Veronica Balfe (m. 1933),None,None,None
67,Philip Seymour Hoffman,"['(1967-07-23)', '(2014-02-02)']",['Actorproducerdirector'],[],Never married,None,None,None
68,Robert Redford,['(1936-08-18)'],['Actordirectorproducerbusinessman'],"['Lola Van Wagenen(m.\xa01958; div.\xa01985)', 'Sibylle Szaggars (m.\xa02009)']",Lola Van Wagenen(m. 1958; div. 1985),Sibylle Szaggars (m. 2009),None,None
69,Ralph Fiennes,['(1962-12-22)'],"['Actor, director, producer']",['Alex Kingston(m.\xa01993; div.\xa01997)'],Alex Kingston(m. 1993; div. 1997),None,None,None
70,Will Smith,['(1968-09-25)'],['Actor\nfilm producer\nrapper\nsongwriter\ncomedian\nmedia personality\nrecord producer'],"['Sheree Zampino(m.\xa01992; div.\xa01995)', 'Jada Pinkett (m.\xa01997)']",Sheree Zampino(m. 1992; div. 1995),Jada Pinkett (m. 1997),None,None
71,Steve McQueen,"['(1930-03-24)', '(1980-11-07)']",['Actor'],"['Neile Adams(m.\xa01956; div.\xa01972)', 'Ali MacGraw(m.\xa01973; div.\xa01978)', 'Barbara Minty (m.\xa01980)']",Neile Adams(m. 1956; div. 1972),Ali MacGraw(m. 1973; div. 1978),Barbara Minty (m. 1980),None
72,Vivien Leigh,"['(1913-11-05)', '(1967-07-08)']",['Actress'],"['Herbert Leigh Holman(m.\xa01932; div.\xa01940)', 'Sir Laurence Olivier(m.\xa01940; div.\xa01960)']",Herbert Leigh Holman(m. 1932; div. 1940),Sir Laurence Olivier(m. 1940; div. 1960),None,None
73,Angelina Jolie,['(1975-06-04)'],['Actress\nfilmmaker\nactivist'],"['Jonny Lee Miller(m.\xa01996; div.\xa02000)', 'Billy Bob Thornton(m.\xa02000; div.\xa02003)', 'Brad Pitt(m.\xa02014; sep.\xa02016)']",Jonny Lee Miller(m. 1996; div. 2000),Billy Bob Thornton(m. 2000; div. 2003),Brad Pitt(m. 2014; sep. 2016),None
74,Anne Hathaway,['(1982-11-12)'],"['Actress, singer']",['Adam Shulman (m.\xa02012)'],Adam Shulman (m. 2012),None,None,None
75,Maggie Smith,['(1934-12-28)'],['Actress'],"['Robert Stephens(m.\xa01967; div.\xa01975)', 'Beverley Cross(m.\xa01975; died\xa01998)']",Robert Stephens(m. 1967; div. 1975),Beverley Cross(m. 1975; died 1998),None,None
76,Olivia de Havilland,['(1916-07-01)'],['Actress'],"['Marcus Goodrich(m.\xa01946; div.\xa01953)', 'Pierre Galante(m.\xa01955; div.\xa01979)']",Marcus Goodrich(m. 1946; div. 1953),Pierre Galante(m. 1955; div. 1979),None,None
77,Barbara Stanwyck,"['(1907-07-16)', '(1990-01-20)']","['Actress, model, dancer']","['Frank Fay(m.\xa01928; div.\xa01935)', 'Robert Taylor(m.\xa01939; div.\xa01952)']",Frank Fay(m. 1928; div. 1935),Robert Taylor(m. 1939; div. 1952),None,None
78,Joan Fontaine,"['(1917-10-22)', '(2013-12-15)']",['Actress'],"['Brian Aherne(m.\xa01939; div.\xa01945)', 'William Dozier(m.\xa01946; div.\xa01951)', 'Collier Young(m.\xa01952; div.\xa01961)', 'Alfred Wright Jr.(m.\xa01964; div.\xa01969)']",Brian Aherne(m. 1939; div. 1945),William Dozier(m. 1946; div. 1951),Collier Young(m. 1952; div. 1961),Alfred Wright Jr.(m. 1964; div. 1969)
79,Greer Garson,"['(1904-09-29)', '(1996-04-06)']","['Actress, singer, philanthropist']","['Edward Snelson(m.\xa01933; div.\xa01943)', 'Richard Ney(m.\xa01943; div.\xa01947)', 'Buddy Fogelson(m.\xa01949; died\xa01987)']",Edward Snelson(m. 1933; div. 1943),Richard Ney(m. 1943; div. 1947),Buddy Fogelson(m. 1949; died 1987),None
80,Faye Dunaway,['(1941-01-14)'],['Actress'],"['Peter Wolf(m.\xa01974; div.\xa01979)', ""Terry O'Neill(m.\xa01983; div.\xa01987)""]",Peter Wolf(m. 1974; div. 1979),Terry O'Neill(m. 1983; div. 1987),None,None
81,Susan Hayward,"['(1917-06-30)', '(1975-03-14)']","['Actress, model']","['Jess Barker (m.\xa01944–1954)', 'Floyd Eaton Chalkley(m.\xa01957; his death\xa01966)']",Jess Barker (m. 1944–1954),Floyd Eaton Chalkley(m. 1957; his death 1966),None,None
82,Ellen Burstyn,['(1932-12-07)'],['Actress'],"['William Alexander(m.\xa01950; div.\xa01957)', 'Paul Roberts(m.\xa01958; div.\xa01961)', 'Neil Burstyn(m.\xa01964; div.\xa01972)']",William Alexander(m. 1950; div. 1957),Paul Roberts(m. 1958; div. 1961),Neil Burstyn(m. 1964; div. 1972),None
83,Jane Wyman,"['(1917-01-05)', '(2007-09-10)']","['Actress, singer, dancer']",[],Never married,None,None,None
84,Sophia Loren,['(1934-09-20)'],"['Beauty queen, actress, singer']",['Carlo Ponti Sr.(m.\xa01957; ann.\xa01962)'],Carlo Ponti Sr.(m. 1957; ann. 1962),None,None,None
85,Joan Crawford,"['(1904-03-23)', '(1977-05-10)']","['Actress, dancer, business executive']","['Douglas Fairbanks, Jr.(m.\xa01929; div.\xa01933)', 'Franchot Tone(m.\xa01935; div.\xa01939)', 'Phillip Terry(m.\xa01942; div.\xa01946)', 'Alfred Steele(m.\xa01955; died\xa01959)']","Douglas Fairbanks, Jr.(m. 1929; div. 1933)",Franchot Tone(m. 1935; div. 1939),Phillip Terry(m. 1942; div. 1946),Alfred Steele(m. 1955; died 1959)
86,Kathy Bates,['(1948-06-28)'],"['Actress, director']",['Tony Campisi(m.\xa01991; div.\xa01997)'],Tony Campisi(m. 1991; div. 1997),None,None,None
87,Julie Andrews,['(1935-10-01)'],"['Actress, singer, author']","['Tony Walton(m.\xa01959; div.\xa01967)', 'Blake Edwards(m.\xa01969; died\xa02010)']",Tony Walton(m. 1959; div. 1967),Blake Edwards(m. 1969; died 2010),None,None
88,Marion Cotillard,['(1975-09-30)'],"['Actress, singer, musician, environmentalist']",[],Never married,None,None,None
89,Deborah Kerr,"['(1921-09-30)', '(2007-10-16)']",['Actress'],"['Tony Bartley(m.\xa01945; div.\xa01959)', 'Peter Viertel (m.\xa01960)']",Tony Bartley(m. 1945; div. 1959),Peter Viertel (m. 1960),None,None
90,Sissy Spacek,['(1949-12-25)'],['Actresssinger'],['Jack Fisk (m.\xa01974)'],Jack Fisk (m. 1974),None,None,None
91,Susan Sarandon,['(1946-10-04)'],['Actress'],['Chris Sarandon(m.\xa01967; div.\xa01979)'],Chris Sarandon(m. 1967; div. 1979),None,None,None
92,Luise Rainer,"['(1910-01-12)', '(2014-12-30)']",['Actress'],[],Never married,None,None,None
93,Glenn Close,['(1947-03-19)'],"['Actress, producer']","['Cabot Wade(m.\xa01969; div.\xa01971)', 'James Marlas(m.\xa01984; div.\xa01987)', 'David Evans Shaw(m.\xa02006; div.\xa02015)']",Cabot Wade(m. 1969; div. 1971),James Marlas(m. 1984; div. 1987),David Evans Shaw(m. 2006; div. 2015),None
94,Jane Fonda,['(1937-12-21)'],['Actress\nwriter\nactivist'],"['Roger Vadim(m.\xa01965; div.\xa01973)', 'Tom Hayden(m.\xa01973; div.\xa01990)', 'Ted Turner(m.\xa01991; div.\xa02001)']",Roger Vadim(m. 1965; div. 1973),Tom Hayden(m. 1973; div. 1990),Ted Turner(m. 1991; div. 2001),None
95,Doris Day,['(1922-04-03)'],"['Actress, singer, animal rights activist']","['Al Jorden(m.\xa01941; div.\xa01943)', 'George Weidler(m.\xa01946; div.\xa01949)', 'Martin Melcher(m.\xa01951; died\xa01968)', 'Barry Comden(m.\xa01976; div.\xa01981)']",Al Jorden(m. 1941; div. 1943),George Weidler(m. 1946; div. 1949),Martin Melcher(m. 1951; died 1968),Barry Comden(m. 1976; div. 1981)
96,Natalie Wood,"['(1938-07-20)', '(1981-11-29)']",['Actress'],"['Robert Wagner(m.\xa01957; div.\xa01962)', 'Richard Gregson(m.\xa01969; div.\xa01972)']",Robert Wagner(m. 1957; div. 1962),Richard Gregson(m. 1969; div. 1972),None,None
97,Jeff Bridges,['(1949-12-04)'],"['Actor, singer, producer, composer']",['Susan Geston (m.\xa01977)'],Susan Geston (m. 1977),None,None,None
98,Chiwetel Ejiofor,['(1977-07-10)'],['Actor'],[],Never married,None,None,None
99,Ben Kingsley,['(1943-12-31)'],['Actor'],"['Angela Morant(m.\xa01966; div.\xa01976)', 'Alison Sutcliffe(m.\xa01978; div.\xa01992)', 'Alexandra Christmann(m.\xa02003; div.\xa02005)', 'Daniela Lavender (m.\xa02007)']",Angela Morant(m. 1966; div. 1976),Alison Sutcliffe(m. 1978; div. 1992),Alexandra Christmann(m. 2003; div. 2005),Daniela Lavender (m. 2007)
100,Tommy Lee Jones,['(1946-09-15)'],"['Actor, director, producer, screenwriter']","['Katherine ""Kate"" Lardner (m.\xa01971–1978)', 'Kimberlea Cloughley (m.\xa01981–1996)', 'Dawn Laurel (m.\xa02001)']","Katherine ""Kate"" Lardner (m. 1971–1978)",Kimberlea Cloughley (m. 1981–1996),Dawn Laurel (m. 2001),None
101,Samuel L. Jackson,['(1948-12-21)'],"['Actor, film producer']",['LaTanya Richardson (m.\xa01980)'],LaTanya Richardson (m. 1980),None,None,None
102,Jack Lemmon,"['(1925-02-08)', '(2001-06-27)']","['Actor, musician']","['Cynthia Stone(m.\xa01950; div.\xa01956)', 'Felicia Farr (m.\xa01962)']",Cynthia Stone(m. 1950; div. 1956),Felicia Farr (m. 1962),None,None
103,Joe Pesci,['(1943-02-09)'],['Actor'],['Claudia Haro(m.\xa01988; div.\xa01992)'],Claudia Haro(m. 1988; div. 1992),None,None,None
104,Christopher Plummer,['(1929-12-13)'],['Actor'],"['Tammy Grimes(m.\xa01956; div.\xa01960)', 'Patricia Lewis(m.\xa01962; div.\xa01967)', 'Elaine Taylor (m.\xa01970)']",Tammy Grimes(m. 1956; div. 1960),Patricia Lewis(m. 1962; div. 1967),Elaine Taylor (m. 1970),None
105,George C. Scott,"['(1927-10-18)', '(1999-09-22)']","['Actor, director, producer']","['Carolyn Hughes (m.\xa01951–1955)', 'Patricia Reed (m.\xa01955–1960)', 'Colleen Dewhurst(m.\xa01960; div.\xa01965)', 'Trish Van Devere(m.\xa01972; his death\xa01999)']",Carolyn Hughes (m. 1951–1955),Patricia Reed (m. 1955–1960),Colleen Dewhurst(m. 1960; div. 1965),Trish Van Devere(m. 1972; his death 1999)
106,Joaquin Phoenix,['(1974-10-28)'],['Actor\nproducer\nmusician\nactivist'],[],Never married,None,None,None
107,Christopher Walken,['(1943-03-31)'],"['Actor, dancer, business investor with Tribeca Grill']",['Georgianne Thon (m.\xa01969)'],Georgianne Thon (m. 1969),None,None,None
108,John Travolta,['(1954-02-18)'],"['Actor, producer, singer, dancer']",['Kelly Preston (m.\xa01991)'],Kelly Preston (m. 1991),None,None,None
109,James Stewart,"['(1908-05-20)', '(1997-07-02)']","['Actor, military officer']",['Gloria Hatrick McLean(m.\xa01949; died\xa01994)'],Gloria Hatrick McLean(m. 1949; died 1994),None,None,None
110,Matthew McConaughey,['(1969-11-04)'],"['Actor, producer']",['Camila Alves (m.\xa02012)'],Camila Alves (m. 2012),None,None,None
111,Peter O'Toole,"['(1932-08-02)', '(2013-12-14)']","['Actor, author']",['Siân Phillips(m.\xa01959; div.\xa01979)'],Siân Phillips(m. 1959; div. 1979),None,None,None
112,James Cagney,"['(1899-07-17)', '(1986-03-30)']","['Actor, dancer']",['Frances Vernon (m.\xa01922)'],Frances Vernon (m. 1922),None,None,None
113,Ian McKellen,['(1939-05-25)'],['Actor'],[],Never married,None,None,None
